DateTime,Epex Spot,Day-ahead Total Load Forecast,Actual Total Load
2023-12-01 00:00,106.91,4819,5169.0
2023-12-01 01:00,102.63,4625,4960.0
2023-12-01 02:00,99.1,4520,4885.0
2023-12-01 03:00,95.88,4570,4933.0
2023-12-01 04:00,96.07,4809,5200.0
2023-12-01 05:00,102.22,5478,5819.0
2023-12-01 06:00,119.9,5982,6385.0
2023-12-01 07:00,151.97,6152,6578.0
2023-12-01 08:00,202.93,6243,6737.0
2023-12-01 09:00,221.56,6293,6830.0
2023-12-01 10:00,213.91,6355,6892.0
2023-12-01 11:00,211.95,6394,6879.0
2023-12-01 12:00,195.65,6306,6883.0
2023-12-01 13:00,172.01,6224,6728.0
2023-12-01 14:00,173.52,6248,6778.0
2023-12-01 15:00,180.01,6351,6886.0
2023-12-01 16:00,199.86,6323,6811.0
2023-12-01 17:00,230.09,6211,6586.0
2023-12-01 18:00,198.49,6126,6513.0
2023-12-01 19:00,168.23,5951,6284.0
2023-12-01 20:00,142.16,5704,6111.0
2023-12-01 21:00,125.0,5444,5839.0
2023-12-01 22:00,118.0,5208,5579.0
2023-12-01 23:00,108.07,4998,5275.0
2023-12-02 00:00,105.87,4699,4998.0
2023-12-02 01:00,103.65,4487,4777.0
2023-12-02 02:00,103.58,4343,4649.0
2023-12-02 03:00,101.72,4341,4634.0
2023-12-02 04:00,99.58,4441,4738.0
2023-12-02 05:00,98.49,4718,4923.0
2023-12-02 06:00,99.6,5016,5230.0
2023-12-02 07:00,106.32,5304,5563.0
2023-12-02 08:00,120.34,5467,5773.0
2023-12-02 09:00,127.99,5481,5883.0
2023-12-02 10:00,130.75,5499,5998.0
2023-12-02 11:00,127.0,5541,6088.0
2023-12-02 12:00,121.15,5528,6030.0
2023-12-02 13:00,114.58,5488,5983.0
2023-12-02 14:00,118.52,5530,6007.0
2023-12-02 15:00,123.5,5747,6137.0
2023-12-02 16:00,129.79,5783,6140.0
2023-12-02 17:00,143.95,5731,6019.0
2023-12-02 18:00,144.91,5728,6017.0
2023-12-02 19:00,129.64,5603,5854.0
2023-12-02 20:00,122.63,5378,5687.0
2023-12-02 21:00,116.83,5135,5445.0
2023-12-02 22:00,112.78,4899,5205.0
2023-12-02 23:00,110.0,4708,4926.0
2023-12-03 00:00,109.2,4485,4753.0
2023-12-03 01:00,104.8,4316,4574.0
2023-12-03 02:00,103.39,4217,4449.0
2023-12-03 03:00,101.23,4228,4424.0
2023-12-03 04:00,96.56,4281,4547.0
2023-12-03 05:00,93.1,4500,4749.0
2023-12-03 06:00,89.65,4756,5015.0
2023-12-03 07:00,92.83,5084,5297.0
2023-12-03 08:00,97.02,5242,5376.0
2023-12-03 09:00,100.15,5228,5297.0
2023-12-03 10:00,104.96,5265,5320.0
2023-12-03 11:00,105.07,5289,5398.0
2023-12-03 12:00,102.91,5211,5355.0
2023-12-03 13:00,100.0,5240,5458.0
2023-12-03 14:00,105.68,5434,5716.0
2023-12-03 15:00,115.0,5822,6071.0
2023-12-03 16:00,122.2,5944,6197.0
2023-12-03 17:00,127.9,5906,6169.0
2023-12-03 18:00,129.05,5904,6207.0
2023-12-03 19:00,126.07,5782,6096.0
2023-12-03 20:00,112.33,5572,5878.0
2023-12-03 21:00,100.0,5334,5643.0
2023-12-03 22:00,99.09,5088,5381.0
2023-12-03 23:00,89.0,4793,5031.0
2023-12-04 00:00,93.86,4592,4869.0
2023-12-04 01:00,89.81,4483,4721.0
2023-12-04 02:00,88.02,4410,4692.0
2023-12-04 03:00,85.38,4483,4780.0
2023-12-04 04:00,85.83,4805,5136.0
2023-12-04 05:00,92.04,5687,5908.0
2023-12-04 06:00,103.73,6294,6526.0
2023-12-04 07:00,116.67,6382,6497.0
2023-12-04 08:00,123.16,6177,6178.0
2023-12-04 09:00,126.67,5880,5836.0
2023-12-04 10:00,128.16,5765,5672.0
2023-12-04 11:00,130.7,5791,5785.0
2023-12-04 12:00,126.45,5804,6007.0
2023-12-04 13:00,119.99,6014,6316.0
2023-12-04 14:00,127.61,6330,6735.0
2023-12-04 15:00,125.95,6735,6963.0
2023-12-04 16:00,126.12,6811,7055.0
2023-12-04 17:00,132.45,6698,6936.0
2023-12-04 18:00,129.22,6637,6918.0
2023-12-04 19:00,123.02,6471,6756.0
2023-12-04 20:00,115.0,6221,6525.0
2023-12-04 21:00,105.55,5957,6180.0
2023-12-04 22:00,100.0,5703,5913.0
2023-12-04 23:00,91.76,5334,5608.0
2023-12-05 00:00,90.85,5083,5322.0
2023-12-05 01:00,88.01,4891,5105.0
2023-12-05 02:00,85.73,4774,5048.0
2023-12-05 03:00,83.62,4822,5104.0
2023-12-05 04:00,84.71,5086,5405.0
2023-12-05 05:00,91.02,5781,6080.0
2023-12-05 06:00,108.0,6334,6690.0
2023-12-05 07:00,113.96,6459,6757.0
2023-12-05 08:00,123.32,6472,6793.0
2023-12-05 09:00,122.88,6478,6804.0
2023-12-05 10:00,120.55,6486,6800.0
2023-12-05 11:00,118.47,6515,6845.0
2023-12-05 12:00,116.1,6483,6824.0
2023-12-05 13:00,116.1,6447,6778.0
2023-12-05 14:00,115.25,6529,6884.0
2023-12-05 15:00,122.09,6728,6968.0
2023-12-05 16:00,129.24,6718,7007.0
2023-12-05 17:00,146.79,6605,6857.0
2023-12-05 18:00,147.47,6529,6844.0
2023-12-05 19:00,141.56,6377,6694.0
2023-12-05 20:00,128.63,6129,6511.0
2023-12-05 21:00,117.83,5857,6161.0
2023-12-05 22:00,111.55,5605,5916.0
2023-12-05 23:00,103.28,5247,5595.0
2023-12-06 00:00,94.97,5002,5356.0
2023-12-06 01:00,93.1,4815,5127.0
2023-12-06 02:00,92.57,4705,5031.0
2023-12-06 03:00,90.96,4765,5079.0
2023-12-06 04:00,90.59,5024,5387.0
2023-12-06 05:00,93.89,5718,6047.0
2023-12-06 06:00,107.03,6247,6605.0
2023-12-06 07:00,133.61,6376,6676.0
2023-12-06 08:00,167.0,6433,6748.0
2023-12-06 09:00,166.54,6466,6754.0
2023-12-06 10:00,150.0,6508,6824.0
2023-12-06 11:00,146.29,6571,6904.0
2023-12-06 12:00,137.17,6553,6967.0
2023-12-06 13:00,131.37,6530,6900.0
2023-12-06 14:00,137.25,6572,6940.0
2023-12-06 15:00,143.99,6715,7000.0
2023-12-06 16:00,164.0,6696,6999.0
2023-12-06 17:00,178.07,6596,6873.0
2023-12-06 18:00,165.28,6518,6855.0
2023-12-06 19:00,149.93,6367,6694.0
2023-12-06 20:00,129.91,6120,6519.0
2023-12-06 21:00,115.68,5852,6186.0
2023-12-06 22:00,107.33,5609,5900.0
2023-12-06 23:00,100.44,5321,5560.0
2023-12-07 00:00,99.2,5071,5315.0
2023-12-07 01:00,97.85,4878,5093.0
2023-12-07 02:00,96.86,4762,4997.0
2023-12-07 03:00,91.81,4820,5049.0
2023-12-07 04:00,89.92,5070,5331.0
2023-12-07 05:00,94.53,5783,5960.0
2023-12-07 06:00,110.05,6312,6509.0
2023-12-07 07:00,130.13,6489,6675.0
2023-12-07 08:00,150.0,6579,6804.0
2023-12-07 09:00,137.7,6602,6848.0
2023-12-07 10:00,125.5,6615,6903.0
2023-12-07 11:00,109.7,6639,6955.0
2023-12-07 12:00,104.88,6573,6965.0
2023-12-07 13:00,98.4,6550,6828.0
2023-12-07 14:00,94.34,6608,6890.0
2023-12-07 15:00,89.13,6770,6990.0
2023-12-07 16:00,85.0,6743,7045.0
2023-12-07 17:00,108.91,6627,6891.0
2023-12-07 18:00,121.44,6535,6865.0
2023-12-07 19:00,105.43,6375,6660.0
2023-12-07 20:00,100.75,6132,6482.0
2023-12-07 21:00,97.0,5866,6125.0
2023-12-07 22:00,96.42,5629,5838.0
2023-12-07 23:00,87.08,5303,5557.0
2023-12-08 00:00,87.09,5059,5325.0
2023-12-08 01:00,83.26,4864,5063.0
2023-12-08 02:00,81.43,4751,4971.0
2023-12-08 03:00,79.52,4807,5027.0
2023-12-08 04:00,80.0,5061,5310.0
2023-12-08 05:00,87.04,5764,6001.0
2023-12-08 06:00,100.4,6297,6534.0
2023-12-08 07:00,108.4,6437,6655.0
2023-12-08 08:00,113.4,6398,6614.0
2023-12-08 09:00,118.91,6271,6535.0
2023-12-08 10:00,118.92,6184,6541.0
2023-12-08 11:00,118.3,6166,6602.0
2023-12-08 12:00,117.04,6165,6688.0
2023-12-08 13:00,112.29,6246,6638.0
2023-12-08 14:00,113.28,6394,6765.0
2023-12-08 15:00,98.16,6682,6922.0
2023-12-08 16:00,101.9,6676,6897.0
2023-12-08 17:00,115.1,6551,6708.0
2023-12-08 18:00,118.6,6499,6658.0
2023-12-08 19:00,106.32,6311,6457.0
2023-12-08 20:00,104.9,6075,6317.0
2023-12-08 21:00,101.12,5844,6031.0
2023-12-08 22:00,98.85,5613,5790.0
2023-12-08 23:00,90.58,5309,5467.0
2023-12-09 00:00,95.0,5004,5203.0
2023-12-09 01:00,85.1,4801,4954.0
2023-12-09 02:00,79.49,4672,4843.0
2023-12-09 03:00,73.07,4664,4813.0
2023-12-09 04:00,61.82,4781,4951.0
2023-12-09 05:00,67.47,5071,5174.0
2023-12-09 06:00,76.04,5368,5491.0
2023-12-09 07:00,82.7,5641,5760.0
2023-12-09 08:00,85.65,5773,5950.0
2023-12-09 09:00,92.37,5791,6043.0
2023-12-09 10:00,86.95,5809,6137.0
2023-12-09 11:00,82.14,5837,6215.0
2023-12-09 12:00,73.68,5758,6143.0
2023-12-09 13:00,80.47,5756,6088.0
2023-12-09 14:00,87.51,5820,6107.0
2023-12-09 15:00,62.72,6042,6299.0
2023-12-09 16:00,69.16,6098,6339.0
2023-12-09 17:00,82.54,6026,6207.0
2023-12-09 18:00,83.21,5983,6172.0
2023-12-09 19:00,76.27,5881,6052.0
2023-12-09 20:00,68.43,5645,5884.0
2023-12-09 21:00,63.26,5393,5667.0
2023-12-09 22:00,57.87,5158,5368.0
2023-12-09 23:00,46.18,4878,5037.0
2023-12-10 00:00,34.02,4679,4861.0
2023-12-10 01:00,22.21,4503,4655.0
2023-12-10 02:00,13.96,4390,4533.0
2023-12-10 03:00,7.36,4397,4520.0
2023-12-10 04:00,10.65,4439,4627.0
2023-12-10 05:00,18.53,4649,4859.0
2023-12-10 06:00,24.32,4908,5179.0
2023-12-10 07:00,42.1,5240,5533.0
2023-12-10 08:00,59.77,5611,5906.0
2023-12-10 09:00,65.73,5845,6137.0
2023-12-10 10:00,69.23,6015,6254.0
2023-12-10 11:00,53.85,6017,6225.0
2023-12-10 12:00,62.1,5781,6049.0
2023-12-10 13:00,50.94,5630,5947.0
2023-12-10 14:00,65.32,5653,5880.0
2023-12-10 15:00,63.19,5903,6079.0
2023-12-10 16:00,49.32,6000,6193.0
2023-12-10 17:00,50.0,5965,6162.0
2023-12-10 18:00,57.06,5934,6197.0
2023-12-10 19:00,62.4,5813,6066.0
2023-12-10 20:00,55.4,5607,5847.0
2023-12-10 21:00,50.0,5352,5610.0
2023-12-10 22:00,47.0,5090,5326.0
2023-12-10 23:00,53.88,4792,4996.0
2023-12-11 00:00,35.0,4577,4852.0
2023-12-11 01:00,16.66,4442,4682.0
2023-12-11 02:00,13.98,4375,4589.0
2023-12-11 03:00,10.0,4447,4669.0
2023-12-11 04:00,13.24,4717,5005.0
2023-12-11 05:00,37.02,5604,5800.0
