DateTime,Epex Spot,forecast load,load,forecast generation,generation
2023-01-01 00:00,0.0,3786,3874.0,80,66
2023-01-01 01:00,-0.1,3628,3657.0,79,66
2023-01-01 02:00,-1.33,3384,3496.0,81,66
2023-01-01 03:00,-4.08,3264,3388.0,83,61
2023-01-01 04:00,-4.16,3221,3409.0,79,59
2023-01-01 05:00,-3.58,3309,3496.0,66,67
2023-01-01 06:00,-4.37,3399,3559.0,53,44
2023-01-01 07:00,-0.12,3587,3530.0,42,31
2023-01-01 08:00,-0.06,3639,3574.0,31,28
2023-01-01 09:00,0.0,3710,3607.0,24,26
2023-01-01 10:00,0.0,3827,3595.0,17,23
2023-01-01 11:00,0.0,3972,3695.0,12,15
2023-01-01 12:00,0.0,3985,3711.0,9,9
2023-01-01 13:00,0.1,4030,3823.0,7,8
2023-01-01 14:00,1.5,4035,4056.0,6,5
2023-01-01 15:00,23.5,4257,4344.0,5,8
2023-01-01 16:00,36.54,4387,4585.0,5,12
2023-01-01 17:00,46.03,4350,4568.0,6,14
2023-01-01 18:00,44.43,4367,4587.0,8,18
2023-01-01 19:00,54.95,4315,4538.0,8,21
2023-01-01 20:00,47.38,4225,4411.0,9,19
2023-01-01 21:00,40.24,4074,4207.0,9,21
2023-01-01 22:00,45.96,3888,3975.0,10,17
2023-01-01 23:00,35.0,3732,3702.0,16,22
2023-01-02 00:00,61.38,3532,3577.0,16,19
2023-01-02 01:00,52.68,3459,3392.0,19,19
2023-01-02 02:00,52.93,3343,3307.0,21,16
2023-01-02 03:00,42.75,3321,3373.0,23,24
2023-01-02 04:00,50.08,3555,3609.0,25,23
2023-01-02 05:00,67.91,4275,4113.0,26,34
2023-01-02 06:00,105.08,4896,4544.0,28,32
2023-01-02 07:00,140.64,5116,4729.0,29,31
2023-01-02 08:00,149.8,5157,4842.0,28,25
2023-01-02 09:00,154.66,5153,4862.0,22,27
2023-01-02 10:00,145.61,5071,4939.0,17,20
2023-01-02 11:00,143.35,5055,5011.0,13,10
2023-01-02 12:00,144.38,5095,4999.0,10,9
2023-01-02 13:00,143.76,5087,5011.0,10,7
2023-01-02 14:00,148.2,5246,5148.0,12,8
2023-01-02 15:00,155.34,5395,5329.0,17,10
2023-01-02 16:00,163.17,5529,5501.0,23,12
2023-01-02 17:00,173.8,5411,5399.0,27,12
2023-01-02 18:00,174.74,5366,5362.0,27,12
2023-01-02 19:00,165.76,5198,5221.0,29,14
2023-01-02 20:00,153.0,5027,5091.0,37,16
2023-01-02 21:00,141.67,4755,4881.0,39,23
2023-01-02 22:00,134.91,4542,4698.0,36,22
2023-01-02 23:00,124.22,4268,4404.0,18,16
2023-01-03 00:00,130.01,3996,4142.0,12,5
2023-01-03 01:00,120.0,3646,3936.0,9,3
2023-01-03 02:00,118.76,3316,3788.0,10,3
2023-01-03 03:00,115.0,3261,3845.0,11,6
2023-01-03 04:00,113.63,3403,4063.0,14,9
2023-01-03 05:00,116.27,4013,4536.0,17,8
2023-01-03 06:00,138.92,4570,4964.0,21,15
2023-01-03 07:00,159.92,4727,5103.0,25,14
2023-01-03 08:00,169.17,4815,5233.0,29,23
2023-01-03 09:00,171.18,4852,5299.0,31,25
2023-01-03 10:00,168.57,4840,5347.0,34,31
2023-01-03 11:00,169.49,4818,5427.0,34,30
2023-01-03 12:00,164.5,4867,5429.0,34,27
2023-01-03 13:00,160.91,4862,5429.0,33,23
2023-01-03 14:00,163.06,5021,5494.0,36,22
